data;ano;num_mes;nome_mes;mes_curto;ano_mes;ano_mes_num;num_trimestre;nome_trimestre;ano_trimestre;dia_mes;dia_semana_num;dia_semana_nome;eh_fim_semana;semana_ano
2023-01-01;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;1;7;Domingo;Sim;1
2023-01-02;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;2;1;Segunda-feira;Não;2
2023-01-03;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;3;2;Terça-feira;Não;2
2023-01-04;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;4;3;Quarta-feira;Não;2
2023-01-05;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;5;4;Quinta-feira;Não;2
2023-01-06;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;6;5;Sexta-feira;Não;2
2023-01-07;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;7;6;Sábado;Sim;2
2023-01-08;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;8;7;Domingo;Sim;2
2023-01-09;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;9;1;Segunda-feira;Não;3
2023-01-10;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;10;2;Terça-feira;Não;3
2023-01-11;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;11;3;Quarta-feira;Não;3
2023-01-12;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;12;4;Quinta-feira;Não;3
2023-01-13;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;13;5;Sexta-feira;Não;3
2023-01-14;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;14;6;Sábado;Sim;3
2023-01-15;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;15;7;Domingo;Sim;3
2023-01-16;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;16;1;Segunda-feira;Não;4
2023-01-17;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;17;2;Terça-feira;Não;4
2023-01-18;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;18;3;Quarta-feira;Não;4
2023-01-19;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;19;4;Quinta-feira;Não;4
2023-01-20;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;20;5;Sexta-feira;Não;4
2023-01-21;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;21;6;Sábado;Sim;4
2023-01-22;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;22;7;Domingo;Sim;4
2023-01-23;2023;1;Janeiro;Jan;2023-01;202301;1;T1;2023-T1;23;1;Segunda-feira;Não;5
