id_meta;data_meta;id_vendedor;valor_meta
1;2023-01-01;1;68051.56
2;2023-02-01;1;78262.08
3;2023-03-01;1;68875.0
4;2023-04-01;1;65156.55
5;2023-05-01;1;65195.04
6;2023-06-01;1;67534.65
7;2023-07-01;1;79744.11
8;2023-08-01;1;72756.62
9;2023-09-01;1;68333.4
10;2023-10-01;1;79793.63
11;2023-11-01;1;139852.26
12;2023-12-01;1;118120.09
13;2024-01-01;1;86429.3
14;2024-02-01;1;76557.48
15;2024-03-01;1;87945.99
16;2024-04-01;1;95378.17
17;2024-05-01;1;88619.18
18;2024-06-01;1;76301.2
19;2024-07-01;1;83116.06
20;2024-08-01;1;79105.48
21;2024-09-01;1;81315.84
22;2024-10-01;1;79931.42
23;2024-11-01;1;163451.42
24;2024-12-01;1;171152.86
25;2025-01-01;1;108355.01
26;2025-02-01;1;105594.3
27;2025-03-01;1;89997.15
28;2025-04-01;1;97913.45
29;2025-05-01;1;108936.17
30;2025-06-01;1;88525.98
31;2025-07-01;1;102123.03
32;2025-08-01;1;88324.16
33;2025-09-01;1;102333.32
34;2025-10-01;1;96267.04
35;2025-11-01;1;188732.91
36;2025-12-01;1;171696.31
37;2023-01-01;2;45250.51
38;2023-02-01;2;45514.74
39;2023-03-01;2;57222.57
40;2023-04-01;2;45321.61
41;2023-05-01;2;46023.47
42;2023-06-01;2;54706.55
43;2023-07-01;2;46539.35
44;2023-08-01;2;49043.51
45;2023-09-01;2;47397.04
46;2023-10-01;2;55916.29
47;2023-11-01;2;83788.56
48;2023-12-01;2;84923.25
49;2024-01-01;2;54473.5
50;2024-02-01;2;68472.4
51;2024-03-01;2;54267.1
52;2024-04-01;2;63496.84
53;2024-05-01;2;58063.85
54;2024-06-01;2;60961.86
55;2024-07-01;2;68261.38
56;2024-08-01;2;66513.84
57;2024-09-01;2;55622.71
58;2024-10-01;2;59031.48
59;2024-11-01;2;102837.15
60;2024-12-01;2;118547.34
61;2025-01-01;2;79200.1
62;2025-02-01;2;65304.75
63;2025-03-01;2;66835.7
64;2025-04-01;2;72608.25
65;2025-05-01;2;66500.31
66;2025-06-01;2;74995.76
67;2025-07-01;2;67313.64
68;2025-08-01;2;67265.49
69;2025-09-01;2;73867.13
70;2025-10-01;2;72128.15
71;2025-11-01;2;143488.64
72;2025-12-01;2;120178.83
73;2023-01-01;3;67238.28
74;2023-02-01;3;75784.96
75;2023-03-01;3;70502.33
76;2023-04-01;3;63018.63
77;2023-05-01;3;72526.43
78;2023-06-01;3;64614.67
79;2023-07-01;3;78598.93
80;2023-08-01;3;63738.7
81;2023-09-01;3;70041.11
82;2023-10-01;3;66494.79
83;2023-11-01;3;140597.57
84;2023-12-01;3;137371.25
85;2024-01-01;3;80267.04
86;2024-02-01;3;94825.36
87;2024-03-01;3;92455.41
88;2024-04-01;3;91654.01
89;2024-05-01;3;91291.44
90;2024-06-01;3;76381.32
91;2024-07-01;3;84350.37
92;2024-08-01;3;84165.17
93;2024-09-01;3;76232.43
94;2024-10-01;3;95170.92
95;2024-11-01;3;156319.78
96;2024-12-01;3;144821.7
97;2025-01-01;3;112447.62
98;2025-02-01;3;91333.81
99;2025-03-01;3;91367.95
100;2025-04-01;3;108544.97
101;2025-05-01;3;99681.55
102;2025-06-01;3;99526.91
103;2025-07-01;3;96656.09
104;2025-08-01;3;108063.5
105;2025-09-01;3;92230.95
106;2025-10-01;3;102519.98
107;2025-11-01;3;184337.47
108;2025-12-01;3;172971.04
109;2023-01-01;4;54482.08
110;2023-02-01;4;52318.76
111;2023-03-01;4;52156.96
112;2023-04-01;4;53836.27
113;2023-05-01;4;49642.99
114;2023-06-01;4;48346.6
115;2023-07-01;4;49695.22
116;2023-08-01;4;45052.98
117;2023-09-01;4;55773.64
118;2023-10-01;4;56808.76
119;2023-11-01;4;93047.88
120;2023-12-01;4;85187.08
121;2024-01-01;4;59718.78
122;2024-02-01;4;67914.98
123;2024-03-01;4;56845.19
124;2024-04-01;4;64148.89
125;2024-05-01;4;62435.53
126;2024-06-01;4;62977.54
127;2024-07-01;4;66794.82
128;2024-08-01;4;59086.33
129;2024-09-01;4;62532.64
130;2024-10-01;4;65549.72
131;2024-11-01;4;103298.33
132;2024-12-01;4;99220.91
133;2025-01-01;4;65290.72
134;2025-02-01;4;66506.49
135;2025-03-01;4;76756.08
136;2025-04-01;4;69320.72
137;2025-05-01;4;67794.91
138;2025-06-01;4;64731.71
139;2025-07-01;4;75490.32
140;2025-08-01;4;78174.23
141;2025-09-01;4;74399.83
142;2025-10-01;4;78829.23
143;2025-11-01;4;135051.95
144;2025-12-01;4;139616.01
145;2023-01-01;5;32120.9
146;2023-02-01;5;31608.64
147;2023-03-01;5;34395.06
148;2023-04-01;5;36903.42
149;2023-05-01;5;32708.52
150;2023-06-01;5;33136.03
151;2023-07-01;5;39876.97
152;2023-08-01;5;34579.13
153;2023-09-01;5;38493.2
154;2023-10-01;5;34142.57
155;2023-11-01;5;60721.03
156;2023-12-01;5;68330.17
157;2024-01-01;5;41987.88
158;2024-02-01;5;43978.99
159;2024-03-01;5;39521.74
160;2024-04-01;5;46826.58
161;2024-05-01;5;39257.51
162;2024-06-01;5;43451.1
163;2024-07-01;5;41439.2
164;2024-08-01;5;45887.1
165;2024-09-01;5;40963.27
166;2024-10-01;5;40162.74
167;2024-11-01;5;69488.39
168;2024-12-01;5;71107.34
169;2025-01-01;5;50674.7
170;2025-02-01;5;45508.27
171;2025-03-01;5;53619.75
172;2025-04-01;5;48784.4
173;2025-05-01;5;44430.67
174;2025-06-01;5;48046.43
175;2025-07-01;5;45486.01
176;2025-08-01;5;53237.44
177;2025-09-01;5;49296.76
178;2025-10-01;5;54228.14
179;2025-11-01;5;100714.68
180;2025-12-01;5;97522.74
181;2023-01-01;6;74667.41
182;2023-02-01;6;72144.16
183;2023-03-01;6;78579.4
184;2023-04-01;6;77875.09
185;2023-05-01;6;73839.09
186;2023-06-01;6;71632.08
187;2023-07-01;6;73885.85
188;2023-08-01;6;72946.87
189;2023-09-01;6;67152.53
190;2023-10-01;6;70403.22
191;2023-11-01;6;118348.34
192;2023-12-01;6;129057.25
193;2024-01-01;6;75910.69
194;2024-02-01;6;84906.7
195;2024-03-01;6;82950.18
196;2024-04-01;6;76197.59
197;2024-05-01;6;95263.33
198;2024-06-01;6;76749.38
199;2024-07-01;6;78091.66
200;2024-08-01;6;79727.4
201;2024-09-01;6;92035.66
202;2024-10-01;6;92688.23
203;2024-11-01;6;143185.58
204;2024-12-01;6;153317.21
205;2025-01-01;6;95240.73
206;2025-02-01;6;93927.77
207;2025-03-01;6;96807.26
208;2025-04-01;6;88370.86
209;2025-05-01;6;105857.43
210;2025-06-01;6;88843.49
211;2025-07-01;6;102198.76
212;2025-08-01;6;101427.05
213;2025-09-01;6;89108.96
214;2025-10-01;6;93513.86
215;2025-11-01;6;163407.02
216;2025-12-01;6;167031.46
217;2023-01-01;7;46074.79
