id_venda;data_venda;data_envio;id_cliente;id_produto;id_vendedor;id_loja;quantidade;preco_unitario;desconto_pct;desconto_valor;valor_bruto;valor_liquido;custo_total;status_entrega;meio_pagamento
1;2023-01-01;2023-01-06;614;27;11;7;1;1799.0;0.0;0.0;1799.0;1799.0;890.0;Entregue;Cartão de Débito
2;2023-01-01;2023-01-03;8;15;23;15;1;599.0;0.05;29.95;599.0;569.05;310.0;Cancelado;Boleto Bancário
3;2023-01-01;2023-01-07;770;14;13;8;1;5499.0;0.2;1099.8;5499.0;4399.2;3200.0;Entregue;Boleto Bancário
4;2023-01-01;2023-01-02;1137;8;5;3;1;319.9;0.0;0.0;319.9;319.9;140.0;Devolvido;Boleto Bancário
5;2023-01-01;2023-01-02;61;13;7;4;1;3199.0;0.0;0.0;3199.0;3199.0;1800.0;Entregue;Boleto Bancário
6;2023-01-01;2023-01-06;504;12;7;4;1;499.0;0.1;49.9;499.0;449.1;220.0;Entregue;PIX
7;2023-01-01;2023-01-05;228;22;7;4;1;649.0;0.0;0.0;649.0;649.0;290.0;Cancelado;PIX
8;2023-01-01;2023-01-06;889;5;4;2;1;1099.0;0.15;164.85;1099.0;934.15;620.0;Entregue;Cartão de Débito
9;2023-01-01;2023-01-07;767;21;20;13;1;799.0;0.05;39.95;799.0;759.05;380.0;Devolvido;PIX
10;2023-01-01;2023-01-06;603;10;11;7;1;6199.0;0.05;309.95;6199.0;5889.05;3800.0;Entregue;Cartão de Débito
11;2023-01-01;2023-01-03;167;31;22;15;1;369.0;0.0;0.0;369.0;369.0;160.0;Cancelado;Boleto Bancário
12;2023-01-01;2023-01-05;1063;30;6;4;1;189.0;0.0;0.0;189.0;189.0;85.0;Cancelado;Cartão de Débito
13;2023-01-01;2023-01-05;550;26;21;14;3;1499.0;0.05;224.85;4497.0;4272.15;2100.0;Entregue;PIX
14;2023-01-01;2023-01-05;481;26;7;4;1;1499.0;0.15;224.85;1499.0;1274.15;700.0;Devolvido;Boleto Bancário
15;2023-01-01;2023-01-04;1128;6;5;3;2;249.9;0.0;0.0;499.8;499.8;220.0;Entregue;Cartão de Crédito
16;2023-01-01;2023-01-05;1050;22;14;8;1;649.0;0.0;0.0;649.0;649.0;290.0;Entregue;Boleto Bancário
17;2023-01-01;2023-01-04;784;2;6;4;1;3599.0;0.0;0.0;3599.0;3599.0;2200.0;Entregue;Boleto Bancário
18;2023-01-01;2023-01-06;1051;6;9;6;3;249.9;0.0;0.0;749.7;749.7;330.0;Entregue;PIX
19;2023-01-01;2023-01-04;403;22;9;6;1;649.0;0.1;64.9;649.0;584.1;290.0;Entregue;PIX
20;2023-01-01;2023-01-07;283;17;1;1;2;589.0;0.0;0.0;1178.0;1178.0;580.0;Entregue;Cartão de Débito
21;2023-01-02;2023-01-07;25;31;21;14;1;369.0;0.1;36.9;369.0;332.1;160.0;Entregue;PIX
22;2023-01-02;2023-01-04;430;31;8;5;1;369.0;0.1;36.9;369.0;332.1;160.0;Cancelado;Cartão de Débito
23;2023-01-02;2023-01-05;176;21;7;4;1;799.0;0.15;119.85;799.0;679.15;380.0;Entregue;Cartão de Débito
24;2023-01-02;2023-01-07;62;24;5;3;1;899.0;0.0;0.0;899.0;899.0;420.0;Entregue;Cartão de Débito
25;2023-01-02;2023-01-08;727;22;8;5;1;649.0;0.05;32.45;649.0;616.55;290.0;Devolvido;Boleto Bancário
26;2023-01-02;2023-01-05;48;3;5;3;1;5799.0;0.2;1159.8;5799.0;4639.2;3500.0;Cancelado;Cartão de Débito
27;2023-01-02;2023-01-06;419;26;3;2;1;1499.0;0.0;0.0;1499.0;1499.0;700.0;Em Trânsito;Cartão de Débito
28;2023-01-02;2023-01-08;624;6;6;4;1;249.9;0.05;12.5;249.9;237.4;110.0;Cancelado;Cartão de Débito
29;2023-01-02;2023-01-03;383;13;3;2;3;3199.0;0.0;0.0;9597.0;9597.0;5400.0;Entregue;Cartão de Crédito
30;2023-01-02;2023-01-06;118;24;17;10;1;899.0;0.0;0.0;899.0;899.0;420.0;Entregue;PIX
31;2023-01-02;2023-01-03;265;27;16;10;2;1799.0;0.0;0.0;3598.0;3598.0;1780.0;Entregue;PIX
32;2023-01-02;2023-01-04;635;28;23;15;1;2299.0;0.0;0.0;2299.0;2299.0;1100.0;Entregue;PIX
33;2023-01-02;2023-01-07;940;18;7;4;1;3699.0;0.0;0.0;3699.0;3699.0;2100.0;Entregue;PIX
34;2023-01-02;2023-01-07;674;32;15;9;1;149.0;0.0;0.0;149.0;149.0;65.0;Cancelado;Cartão de Débito
35;2023-01-02;2023-01-05;610;26;20;13;2;1499.0;0.1;299.8;2998.0;2698.2;1400.0;Entregue;Cartão de Débito
36;2023-01-02;2023-01-06;788;12;23;15;1;499.0;0.0;0.0;499.0;499.0;220.0;Entregue;PIX
37;2023-01-02;2023-01-05;1102;19;22;15;3;1199.0;0.05;179.85;3597.0;3417.15;1740.0;Entregue;Cartão de Débito
38;2023-01-02;2023-01-06;1133;8;12;7;1;319.9;0.0;0.0;319.9;319.9;140.0;Entregue;Cartão de Débito
39;2023-01-02;2023-01-06;338;17;7;4;1;589.0;0.0;0.0;589.0;589.0;290.0;Cancelado;Cartão de Débito
40;2023-01-02;2023-01-06;704;26;7;4;1;1499.0;0.0;0.0;1499.0;1499.0;700.0;Entregue;Boleto Bancário
41;2023-01-02;2023-01-08;951;32;15;9;1;149.0;0.05;7.45;149.0;141.55;65.0;Entregue;PIX
42;2023-01-02;2023-01-06;572;11;6;4;2;1599.0;0.05;159.9;3198.0;3038.1;1700.0;Entregue;Cartão de Débito
43;2023-01-02;2023-01-04;159;1;22;15;1;4499.0;0.0;0.0;4499.0;4499.0;2800.0;Cancelado;Cartão de Crédito
44;2023-01-02;2023-01-08;1091;14;15;9;1;5499.0;0.1;549.9;5499.0;4949.1;3200.0;Cancelado;Cartão de Crédito
45;2023-01-02;2023-01-06;632;29;2;1;1;299.0;0.0;0.0;299.0;299.0;140.0;Entregue;PIX
46;2023-01-02;2023-01-05;489;13;3;2;1;3199.0;;0.0;3199.0;3199.0;1800.0;;PIX
47;2023-01-02;2023-01-08;130;15;4;2;2;599.0;0.1;119.8;1198.0;1078.2;620.0;Entregue;Cartão de Crédito
48;2023-01-02;2023-01-06;1050;7;11;7;1;139.9;0.05;7.0;139.9;132.9;55.0;Em Trânsito;Cartão de Débito
49;2023-01-02;2023-01-06;248;15;7;4;1;599.0;;0.0;599.0;599.0;310.0;;Boleto Bancário
50;2023-01-02;2023-01-03;798;14;15;9;1;5499.0;0.05;274.95;5499.0;5224.05;3200.0;Em Trânsito;Boleto Bancário
51;2023-01-03;2023-01-07;618;32;4;2;2;149.0;0.1;29.8;298.0;268.2;130.0;Em Trânsito;PIX
52;2023-01-03;2023-01-06;195;21;21;14;1;799.0;0.05;39.95;799.0;759.05;380.0;Cancelado;PIX
53;2023-01-03;2023-01-06;360;21;22;15;1;799.0;0.0;0.0;799.0;799.0;380.0;Em Trânsito;Cartão de Débito
54;2023-01-03;2023-01-07;1047;15;17;10;1;599.0;0.2;119.8;599.0;479.2;310.0;Em Trânsito;Cartão de Crédito
55;2023-01-03;2023-01-06;485;28;25;15;1;2299.0;0.0;0.0;2299.0;2299.0;1100.0;Entregue;Boleto Bancário
56;2023-01-03;2023-01-05;311;25;7;4;1;399.0;0.0;0.0;399.0;399.0;180.0;Entregue;Boleto Bancário
57;2023-01-03;2023-01-05;570;21;21;14;2;799.0;0.0;0.0;1598.0;1598.0;760.0;Entregue;Boleto Bancário
58;2023-01-03;2023-01-04;470;22;11;7;1;649.0;0.05;32.45;649.0;616.55;290.0;Cancelado;PIX
59;2023-01-03;2023-01-09;456;25;17;10;1;399.0;;0.0;399.0;399.0;180.0;devolvido;Cartão de Débito
60;2023-01-03;2023-01-04;395;4;21;14;8;1299.0;0.15;1558.8;10392.0;8833.2;6000.0;Entregue;PIX
61;2023-01-03;2023-01-05;1040;6;14;8;2;249.9;0.0;0.0;499.8;499.8;220.0;Entregue;Cartão de Débito
62;2023-01-03;2023-01-05;510;20;10;6;1;2199.0;0.2;439.8;2199.0;1759.2;1100.0;Devolvido;Cartão de Débito
63;2023-01-03;2023-01-04;737;26;13;8;1;1499.0;0.0;0.0;1499.0;1499.0;700.0;Cancelado;Cartão de Débito
64;2023-01-03;2023-01-05;988;2;25;15;1;3599.0;0.15;539.85;3599.0;3059.15;2200.0;Entregue;PIX
65;2023-01-03;2023-01-08;360;17;13;8;1;589.0;0.0;0.0;589.0;589.0;290.0;Em Trânsito;Cartão de Débito
66;2023-01-03;2023-01-04;683;9;23;15;1;3299.0;0.0;0.0;3299.0;3299.0;1900.0;Entregue;Boleto Bancário
67;2023-01-03;2023-01-07;829;27;13;8;5;1799.0;0.0;0.0;8995.0;8995.0;4450.0;Cancelado;Cartão de Crédito
68;2023-01-03;2023-01-07;80;8;13;8;3;319.9;0.0;0.0;959.7;959.7;420.0;Entregue;Boleto Bancário
69;2023-01-03;2023-01-08;1001;24;23;15;1;899.0;0.0;0.0;899.0;899.0;420.0;Entregue;PIX
70;2023-01-03;2023-01-07;71;24;21;14;2;899.0;0.0;0.0;1798.0;1798.0;840.0;Entregue;Boleto Bancário
71;2023-01-03;2023-01-08;933;10;9;6;1;6199.0;0.05;309.95;6199.0;5889.05;3800.0;Entregue;Cartão de Crédito
72;2023-01-03;2023-01-04;190;25;13;8;2;399.0;0.2;159.6;798.0;638.4;360.0;Entregue;Cartão de Débito
73;2023-01-03;2023-01-05;875;17;23;15;1;589.0;0.2;117.8;589.0;471.2;290.0;Entregue;Boleto Bancário
74;2023-01-03;2023-01-09;843;6;4;2;1;249.9;0.1;24.99;249.9;224.91;110.0;Entregue;Boleto Bancário
75;2023-01-03;2023-01-09;430;26;23;15;1;1499.0;0.2;299.8;1499.0;1199.2;700.0;Entregue;Cartão de Crédito
76;2023-01-03;2023-01-04;856;34;14;8;1;99.0;0.1;9.9;99.0;89.1;40.0;Entregue;PIX
77;2023-01-03;2023-01-09;276;13;16;10;1;3199.0;0.15;479.85;3199.0;2719.15;1800.0;Devolvido;PIX
78;2023-01-03;2023-01-05;412;4;24;15;1;1299.0;0.1;129.9;1299.0;1169.1;750.0;Devolvido;Cartão de Débito
79;2023-01-03;2023-01-07;224;11;3;2;1;1599.0;0.0;0.0;1599.0;1599.0;850.0;Entregue;Cartão de Crédito
80;2023-01-03;2023-01-08;481;31;16;10;1;369.0;0.0;0.0;369.0;369.0;160.0;Devolvido;Cartão de Crédito
81;2023-01-03;2023-01-09;1193;3;4;2;1;5799.0;0.1;579.9;5799.0;5219.1;3500.0;Em Trânsito;Boleto Bancário
82;2023-01-03;2023-01-07;970;22;20;13;1;649.0;0.0;0.0;649.0;649.0;290.0;Entregue;PIX
83;2023-01-03;2023-01-06;817;25;20;13;1;399.0;0.0;0.0;399.0;399.0;180.0;Entregue;Cartão de Crédito
84;2023-01-03;2023-01-07;823;9;1;1;1;3299.0;0.15;494.85;3299.0;2804.15;1900.0;Cancelado;PIX
85;2023-01-03;2023-01-06;926;31;17;10;1;369.0;0.0;0.0;369.0;369.0;160.0;Devolvido;Boleto Bancário
86;2023-01-03;2023-01-04;738;3;24;15;1;5799.0;0.0;0.0;5799.0;5799.0;3500.0;Entregue;Cartão de Crédito
87;2023-01-03;2023-01-06;877;31;22;15;2;369.0;0.15;110.7;738.0;627.3;320.0;Entregue;PIX
88;2023-01-03;2023-01-09;294;34;19;12;2;99.0;0.1;19.8;198.0;178.2;80.0;Entregue;Cartão de Crédito
89;2023-01-03;2023-01-06;1124;30;6;4;3;189.0;0.2;113.4;567.0;453.6;255.0;Em Trânsito;PIX
90;2023-01-03;2023-01-05;434;11;25;15;4;1599.0;0.05;319.8;6396.0;6076.2;3400.0;Cancelado;Cartão de Crédito
91;2023-01-03;2023-01-05;669;25;25;15;1;399.0;0.1;39.9;399.0;359.1;180.0;Cancelado;Cartão de Crédito
92;2023-01-03;2023-01-09;279;32;3;2;2;149.0;0.0;0.0;298.0;298.0;130.0;Em Trânsito;Cartão de Crédito
